year,department,isic_section,sector_label,value
2019,chuquisaca,K,Actividades financieras y de seguros,0.18770041678819357
2019,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",0.046431538578587846
2019,chuquisaca,O,Administracion publica,0.2797791884031456
2019,chuquisaca,P,Enseñanza,-0.34289428523758775
2019,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,0.46025987360121595
2019,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",-0.29256223910335466
2020,chuquisaca,,Impuestos netos de subvenciones a los productos,-1.5427687160533248
2020,chuquisaca,,PRODUCTO INTERNO BRUTO,-12.092009417723588
2020,chuquisaca,,VALOR AGREGADO BRUTO,-10.549240701670282
2020,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.05772585267227116
2020,chuquisaca,B,Actividad extractiva,-1.1652046400291225
2020,chuquisaca,C,Industrias manufactureras,-1.7034220007913579
2020,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",-0.09196711883077559
2020,chuquisaca,F,Construcción,-3.946968210199981
2020,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,-1.0181897206926152
2020,chuquisaca,H,Transporte y almacenamiento,-1.6766876962987534
2020,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,-1.7624828310298672
2020,chuquisaca,J,Comunicación e informaciones,-0.03210189894219335
2020,chuquisaca,K,Actividades financieras y de seguros,0.07508226694820025
2020,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-0.1460650353724662
2020,chuquisaca,O,Administracion publica,-0.14360263181439642
2020,chuquisaca,P,Enseñanza,-0.1505565530199208
2020,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,1.039720411364736
2020,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.11547910436596409
2021,chuquisaca,,Impuestos netos de subvenciones a los productos,0.6251704835436479
2021,chuquisaca,,PRODUCTO INTERNO BRUTO,2.8015503632860685
2021,chuquisaca,,VALOR AGREGADO BRUTO,2.176379879742438
2021,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.6346298079399194
2021,chuquisaca,B,Actividad extractiva,-2.147434189855693
2021,chuquisaca,C,Industrias manufactureras,0.2752165197545832
2021,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.12135025479512876
2021,chuquisaca,F,Construcción,0.3392414282643737
2021,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,0.5519140760977552
2021,chuquisaca,H,Transporte y almacenamiento,0.8144069415031977
2021,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,1.0082318003851904
2021,chuquisaca,J,Comunicación e informaciones,0.030434207669660186
2021,chuquisaca,K,Actividades financieras y de seguros,0.04564754234167426
2021,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",-0.239408675346262
2021,chuquisaca,O,Administracion publica,0.1777386640337959
2021,chuquisaca,P,Enseñanza,0.004107641993609308
2021,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,0.5266539255539656
2021,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.03364993461156379
2022,chuquisaca,,Impuestos netos de subvenciones a los productos,0.44234838467559406
2022,chuquisaca,,PRODUCTO INTERNO BRUTO,5.8830537928416655
2022,chuquisaca,,VALOR AGREGADO BRUTO,5.440705408166077
2022,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",-0.06725745951148551
2022,chuquisaca,B,Actividad extractiva,2.018333415693615
2022,chuquisaca,C,Industrias manufactureras,0.5042909263036841
2022,chuquisaca,D+E,"Suministro de electricidad, agua y recolección de desechos sólidos",0.06842011750141083
2022,chuquisaca,F,Construcción,-0.1999633109281243
2022,chuquisaca,G,Comercio; reparacion de vehículos automotores y motocicletas,0.5176688957857284
2022,chuquisaca,H,Transporte y almacenamiento,0.31692820222772433
2022,chuquisaca,I,Actividades de alojamiento y de servicio de comidas y bebidas,1.287057767823625
2022,chuquisaca,J,Comunicación e informaciones,0.14057485769331413
2022,chuquisaca,K,Actividades financieras y de seguros,0.031919865991924194
2022,chuquisaca,L+M+N,"Actividades inmobiliarias, empresariales y de alquiler",1.4067839136616305
2022,chuquisaca,O,Administracion publica,-0.022400960720881064
2022,chuquisaca,P,Enseñanza,-0.024293526564506448
2022,chuquisaca,Q,Actividades de atencion de la salud humana y de asistencia social,-0.9951410921581079
2022,chuquisaca,R+S+T,"Actividades artisticas, de entretenimiento, recreativas y otros servicios",0.4577837953665476
2023,chuquisaca,,Impuestos netos de subvenciones a los productos,0.2731997729863686
2023,chuquisaca,,PRODUCTO INTERNO BRUTO,1.952358024838148
2023,chuquisaca,,VALOR AGREGADO BRUTO,1.6791582518517638
2023,chuquisaca,A,"Agricultura, ganaderia, silvicultura y pesca",0.7903656279720964
2023,chuquisaca,B,Actividad extractiva,0.7861355028699826
2023,chuquisaca,C,Industrias manufactureras,0.26359778770778086
