year,sector,gva,department
1994,- Bebidas y Tabaco,622.5175183592432,beni
1994,- Coca,0.0,beni
1994,- Comunicaciones,11164.47432473274,beni
1994,- Madera y Productos de Madera,4458.289827302462,beni
1994,- Minerales Metálicos y no Metálicos,15450.602081211895,beni
1994,- Otras Industrias Manufactureras,4124.465422642581,beni
1994,- Petróleo Crudo y Gas Natural,0.0,beni
1994,- Productos Agrícolas Industriales,2679.5262469863246,beni
1994,- Productos Agrícolas no Industriales,32450.912599834304,beni
1994,- Productos Pecuarios,185996.51495712678,beni
1994,- Productos de Minerales no Metálicos,5070.927033139638,beni
1994,- Productos de Refinación del Petróleo,0.0,beni
1994,- Propiedad de Vivienda,37463.01615583212,beni
1994,- Servicios Financieros,229.1445211119583,beni
1994,- Servicios a las Empresas,8780.49756452658,beni
1994,"- Silvicultura, Caza y Pesca",35071.02010038875,beni
1994,"- Textiles, Prendas de Vestir y Productos del Cuero",12009.053446158956,beni
1994,- Transporte y Almacenamiento,37457.96123090605,beni
1994,"1. Agricultura, Silvicultura, Caza y Pesca",256197.97390433616,beni
1994,10. Restaurantes y Hoteles,23510.063878143636,beni
1994,11. Servicios de la Administración Pública,49951.20827999999,beni
1994,2. Extracción de Minas y Canteras,15450.602081211895,beni
1994,3. Industrias Manufactureras,114379.14617578415,beni
1994,"4. Electricidad, Gas y Agua",4978.791164381357,beni
1994,5. Construcción,16427.28598889873,beni
1994,6. Comercio,57385.82900331262,beni
1994,"7. Transporte, Almacenamiento y Comunicaciones",48622.43555563879,beni
1994,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46472.65824147066,beni
1994,"9. Servicios Comunales, Sociales, Personales y Domésticos",24947.39663707694,beni
1994,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14181.4864090992,beni
1994,PRODUCTO INTERNO BRUTO (a precios básicos),658119.7090786634,beni
1994,PRODUCTO INTERNO BRUTO (a precios de mercado),672301.1954877626,beni
1994,Servicios Bancarios Imputados,-203.68183159176345,beni
1995,- Alimentos,92169.60536194607,beni
1995,- Bebidas y Tabaco,764.4095551012014,beni
1995,- Coca,0.0,beni
1995,- Comunicaciones,8791.99874951992,beni
1995,- Madera y Productos de Madera,5962.223349243131,beni
1995,- Minerales Metálicos y no Metálicos,15984.444692232726,beni
1995,- Otras Industrias Manufactureras,4295.191341493766,beni
1995,- Petróleo Crudo y Gas Natural,0.0,beni
1995,- Productos Agrícolas Industriales,1018.5527775328507,beni
1995,- Productos Agrícolas no Industriales,30717.67534584662,beni
1995,- Productos Pecuarios,190560.84203404636,beni
1995,- Productos de Minerales no Metálicos,7758.820638286957,beni
1995,- Productos de Refinación del Petróleo,0.0,beni
1995,- Propiedad de Vivienda,38172.96416745652,beni
1995,- Servicios Financieros,122.72919304493873,beni
1995,- Servicios a las Empresas,9141.050840374071,beni
1995,"- Silvicultura, Caza y Pesca",35643.88096782899,beni
1995,"- Textiles, Prendas de Vestir y Productos del Cuero",13249.274037413918,beni
1995,- Transporte y Almacenamiento,39211.494033524665,beni
1995,"1. Agricultura, Silvicultura, Caza y Pesca",257940.95112525483,beni
1995,10. Restaurantes y Hoteles,23912.67989302717,beni
1995,11. Servicios de la Administración Pública,51282.512930000004,beni
1995,2. Extracción de Minas y Canteras,15984.444692232726,beni
1995,3. Industrias Manufactureras,124199.52428348505,beni
1995,"4. Electricidad, Gas y Agua",3612.5339658095127,beni
1995,5. Construcción,22257.013985585923,beni
1995,6. Comercio,57737.317510584995,beni
1995,"7. Transporte, Almacenamiento y Comunicaciones",48003.49278304458,beni
1995,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",47436.74420087553,beni
1995,"9. Servicios Comunales, Sociales, Personales y Domésticos",27309.75730508475,beni
1995,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",13878.76181380196,beni
1995,PRODUCTO INTERNO BRUTO (a precios básicos),679567.3961373057,beni
1995,PRODUCTO INTERNO BRUTO (a precios de mercado),693446.1579511076,beni
1995,Servicios Bancarios Imputados,-109.57653767945936,beni
1996,- Alimentos,95416.34617103255,beni
1996,- Bebidas y Tabaco,708.5003358058304,beni
1996,- Coca,0.0,beni
1996,- Comunicaciones,8079.981926779628,beni
1996,- Madera y Productos de Madera,6314.427214095778,beni
1996,- Minerales Metálicos y no Metálicos,13835.041432292466,beni
1996,- Otras Industrias Manufactureras,4661.109308341566,beni
1996,- Petróleo Crudo y Gas Natural,0.0,beni
1996,- Productos Agrícolas Industriales,2344.0229076209826,beni
1996,- Productos Agrícolas no Industriales,30548.15044642104,beni
1996,- Productos Pecuarios,196594.38332352933,beni
1996,- Productos de Minerales no Metálicos,7000.152928958331,beni
1996,- Productos de Refinación del Petróleo,0.0,beni
1996,- Propiedad de Vivienda,38902.64601195434,beni
1996,- Servicios Financieros,189.25381350980373,beni
1996,- Servicios a las Empresas,9860.821989380507,beni
1996,"- Silvicultura, Caza y Pesca",36816.99678956493,beni
1996,"- Textiles, Prendas de Vestir y Productos del Cuero",14436.832886819357,beni
1996,- Transporte y Almacenamiento,42093.900883366245,beni
1996,"1. Agricultura, Silvicultura, Caza y Pesca",266303.5534671363,beni
1996,10. Restaurantes y Hoteles,24379.91780394363,beni
1996,11. Servicios de la Administración Pública,53607.84495639046,beni
1996,2. Extracción de Minas y Canteras,13835.041432292466,beni
1996,3. Industrias Manufactureras,128537.36884505341,beni
1996,"4. Electricidad, Gas y Agua",6409.07672495252,beni
1996,5. Construcción,22306.569838914802,beni
1996,6. Comercio,59885.64347646442,beni
1996,"7. Transporte, Almacenamiento y Comunicaciones",50173.88281014587,beni
1996,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",48952.721814844655,beni
1996,"9. Servicios Comunales, Sociales, Personales y Domésticos",28294.79461667345,beni
1996,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14967.290099406464,beni
1996,PRODUCTO INTERNO BRUTO (a precios básicos),702534.415786812,beni
1996,PRODUCTO INTERNO BRUTO (a precios de mercado),717501.7058862185,beni
1996,Servicios Bancarios Imputados,-152.0,beni
1997,- Alimentos,98166.12471380917,beni
1997,- Bebidas y Tabaco,757.5417013614698,beni
1997,- Coca,0.0,beni
1997,- Comunicaciones,15132.862893591619,beni
1997,- Madera y Productos de Madera,6609.271356152116,beni
1997,- Minerales Metálicos y no Metálicos,16712.6321542509,beni
1997,- Otras Industrias Manufactureras,4516.4259162703875,beni
1997,- Petróleo Crudo y Gas Natural,0.0,beni
1997,- Productos Agrícolas Industriales,3208.0083821778426,beni
1997,- Productos Agrícolas no Industriales,32008.83418162143,beni
1997,- Productos Pecuarios,199441.26291151397,beni
1997,- Productos de Minerales no Metálicos,7093.9711791959135,beni
1997,- Productos de Refinación del Petróleo,0.0,beni
1997,- Propiedad de Vivienda,39690.72854950156,beni
1997,- Servicios Financieros,802.3292877560323,beni
1997,- Servicios a las Empresas,10750.473270312636,beni
1997,"- Silvicultura, Caza y Pesca",37822.408139734136,beni
1997,"- Textiles, Prendas de Vestir y Productos del Cuero",15771.695441945227,beni
1997,- Transporte y Almacenamiento,47469.589174005516,beni
1997,"1. Agricultura, Silvicultura, Caza y Pesca",272480.5136150474,beni
1997,10. Restaurantes y Hoteles,24584.060695954628,beni
1997,11. Servicios de la Administración Pública,68855.13323587997,beni
1997,2. Extracción de Minas y Canteras,16712.6321542509,beni
1997,3. Industrias Manufactureras,132915.03030873428,beni
1997,"4. Electricidad, Gas y Agua",6090.911986587882,beni
1997,5. Construcción,24408.368862889027,beni
1997,6. Comercio,63478.4309905582,beni
1997,"7. Transporte, Almacenamiento y Comunicaciones",62602.452067597136,beni
1997,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",51243.53110757023,beni
1997,"9. Servicios Comunales, Sociales, Personales y Domésticos",29787.745284004297,beni
1997,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",12003.283994333291,beni
1997,PRODUCTO INTERNO BRUTO (a precios básicos),752374.122395862,beni
1997,PRODUCTO INTERNO BRUTO (a precios de mercado),764377.4063901952,beni
1997,Servicios Bancarios Imputados,-784.6879132119246,beni
1998,- Alimentos,97551.61242857247,beni
1998,- Bebidas y Tabaco,884.4313580830238,beni
1998,- Coca,0.0,beni
1998,- Comunicaciones,23111.3224681396,beni
1998,- Madera y Productos de Madera,6600.497047624087,beni
1998,- Minerales Metálicos y no Metálicos,19695.049867714137,beni
1998,- Otras Industrias Manufactureras,4301.44271324992,beni
1998,- Petróleo Crudo y Gas Natural,0.0,beni
1998,- Productos Agrícolas Industriales,2714.559398833443,beni
1998,- Productos Agrícolas no Industriales,28886.722326326548,beni
1998,- Productos Pecuarios,199935.84590188117,beni
1998,- Productos de Minerales no Metálicos,7270.215793505535,beni
1998,- Productos de Refinación del Petróleo,0.0,beni
1998,- Propiedad de Vivienda,40518.02838352405,beni
1998,- Servicios Financieros,3624.52371166965,beni
1998,- Servicios a las Empresas,11376.86300795231,beni
