date,year,quarter,"AGRICULTURA, SILVICULTURA, CAZA Y PESCA",PETRÓLEO CRUDO Y GAS NATURAL,MINERALES METÁLICOS Y NO METÁLICOS,INDUSTRIA MANUFACTURERA,"ELECTRICIDAD, GAS Y AGUA",CONSTRUCCIÓN,COMERCIO,TRANSPORTE Y COMUNICACIONES,"ESTABLECIMIENTOS FINANCIEROS, SEGUROS, BIENES INMUEBLES Y SERVICIOS A LAS EMPRESAS",SERVICIOS DE LA ADMINISTRACIÓN PÚBLICA,OTROS SERVICIOS,SERVICIOS BANCARIOS IMPUTADOS,PIB A PRECIOS BÁSICOS,"DERECHOS DE IMPORTACIÓN, IVA, IT Y OTROS IMPUESTOS INDIRECTOS",PIB A PRECIOS DE MERCADO
2001-10-01,2001,4,730557.0007213796,336974.02230403956,265986.73903954227,954180.3466581445,136780.18786989964,206766.98816178614,503525.24006144237,634578.3933936283,785029.6074205295,606919.2575327039,447490.5649317842,-204146.02326278784,5404642.324832091,539852.2033445857,5944494.5281766765
2002-01-01,2002,1,791597.4707391124,256096.28500051022,248749.63082802217,863348.2688313961,101520.4326389751,148799.4726881452,433001.41938395344,592109.4201621019,727484.6255271555,456995.61200924043,446088.0827370201,-217195.58568827584,4848595.134857357,473091.3450618513,5321686.479919208
2002-04-01,2002,2,1101947.259033323,264953.75743608683,258297.1325783028,995439.5357730944,122428.58402161374,216816.44496006015,527745.6398350783,628950.8692583364,851586.2717368408,494228.19323079375,451062.1649887016,-224923.0003631606,5688532.852489071,498813.1532129601,6187346.005702031
2002-07-01,2002,3,682322.208756979,306438.1528184137,258409.8465792166,990059.8733484877,111327.93068312715,241166.92164790406,473598.8048643867,694924.6044799505,741061.1050396075,553772.5923849762,453573.6749677548,-207440.9953474425,5299214.720223362,491316.2790407813,5790530.999264143
2002-10-01,2002,4,726959.3552135464,314809.9519443001,257715.61087979033,958593.1076703605,137841.78494181897,241318.53647346993,508919.4600603592,647323.5882109021,727279.87483976,635789.2210339706,453380.0906361509,-180477.994621121,5429452.587283309,568720.0311063869,5998172.618389696
2003-01-01,2003,1,873900.5160455281,258230.83527834486,252667.02267424163,902438.7678738039,105064.72105880942,127494.20535359286,445745.88762244023,605290.7490560439,703327.0183772896,477993.945098981,452980.7112504211,-186978.77416784348,5018155.605521653,480084.7966099765,5498240.402131629
2003-04-01,2003,2,1215189.5812947545,286148.7586632213,267629.70142312883,1033166.2023346626,125398.0947337355,169578.9629654014,532029.1783656764,655192.0398779947,821372.6694772938,513330.2458108195,455015.4601335707,-189418.94469055958,5884631.950389701,503357.9204947016,6387989.870884403
2003-07-01,2003,3,734522.370701866,323901.1855128806,263792.9691670925,1001751.4351445052,114629.12435903627,168374.66944580863,487841.0053540037,730112.6298694441,706223.192502823,569240.6408750926,458555.6848188121,-201830.98439907705,5357113.923352286,485661.30409636855,5842775.227448654
2003-10-01,2003,4,766984.1611411669,375291.8360112445,245045.67627025017,1015007.8924430505,141886.91200704014,181923.87231348734,525526.1321197408,671895.8999170563,714956.2639278315,653863.9940869474,457820.1201895118,-171133.043820592,5579069.716606736,621341.6851604852,6200411.401767221
2004-01-01,2004,1,875205.2822186416,318446.7263646367,233564.19571853956,956421.496396165,107066.41164918678,125215.41516292401,478373.9385248275,626038.7741652853,683785.1494645642,516036.9760101926,464374.28468727355,-177766.31178458262,5206762.338577654,532641.3664158406,5739403.704993495
2004-04-01,2004,2,1195481.0290518277,354226.4335174766,227486.4269850703,1076690.8137717738,129210.23162581558,171500.6563167187,559695.1379675191,683920.6153680604,810328.9540457691,546237.9069537167,468790.11502788815,-169175.7204721518,6054392.600159484,566545.3637923041,6620937.963951788
2004-07-01,2004,3,752343.8365823979,440093.02715358266,236196.37138691,1103626.6126447541,118380.90490160097,175204.1926401173,507847.49613229744,760632.1089518154,699580.9978714476,587395.0445938195,471186.3892646198,-193017.00132871605,5659469.980794647,542815.4005038559,6202285.381298503
2004-10-01,2004,4,776465.1951676799,431702.3765051825,245138.17533642403,1036190.7786518286,147361.71191391876,189555.20256613262,523112.5724812445,699311.4908525987,709397.6867420588,640043.0724422713,469988.7658174092,-159843.376998995,5708423.651477753,657011.4938694002,6365435.145347154
2005-01-01,2005,1,916995.9858899725,391301.0546140455,233358.6189158262,976988.1581807855,109463.54383214019,134684.3714398246,491637.15476938104,644087.173572832,674836.7451116256,529246.2155067157,473553.6104939313,-174533.72402974992,5401618.90829733,593178.7251051188,5994797.633402449
