year,department,isic_section,sector_label,value,base_year
1994,beni,,- Madera y Productos de Madera,4458.289827302462,1990
1994,beni,,- Minerales Metálicos y no Metálicos,15450.602081211897,1990
1994,beni,,- Otras Industrias Manufactureras,4124.465422642581,1990
1994,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1994,beni,,- Productos Agrícolas Industriales,2679.5262469863246,1990
1994,beni,,- Productos Agrícolas no Industriales,32450.912599834304,1990
1994,beni,,- Productos Pecuarios,185996.5149571268,1990
1994,beni,,- Productos de Minerales no Metálicos,5070.927033139638,1990
1994,beni,,- Productos de Refinación del Petróleo,0.0,1990
1994,beni,,- Propiedad de Vivienda,37463.01615583212,1990
1994,beni,,- Servicios Financieros,229.1445211119583,1990
1994,beni,,- Servicios a las Empresas,8780.49756452658,1990
1994,beni,,"- Silvicultura, Caza y Pesca",35071.02010038875,1990
1994,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",12009.053446158956,1990
1994,beni,,- Transporte y Almacenamiento,37457.96123090605,1990
1994,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",256197.97390433616,1990
1994,beni,,10. Restaurantes y Hoteles,23510.063878143636,1990
1994,beni,,11. Servicios de la Administración Pública,49951.20827999999,1990
1994,beni,,2. Extracción de Minas y Canteras,15450.602081211897,1990
1994,beni,,3. Industrias Manufactureras,114379.14617578416,1990
1994,beni,,"4. Electricidad, Gas y Agua",4978.791164381357,1990
1994,beni,,5. Construcción,16427.28598889873,1990
1994,beni,,6. Comercio,57385.82900331262,1990
1994,beni,,"7. Transporte, Almacenamiento y Comunicaciones",48622.43555563879,1990
1994,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",46472.65824147066,1990
1994,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",24947.39663707694,1990
1994,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",14181.4864090992,1990
1994,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),658119.7090786634,1990
1994,beni,,PRODUCTO INTERNO BRUTO (a precios de mercado),672301.1954877626,1990
1994,beni,,Servicios Bancarios Imputados,-203.68183159176343,1990
1995,beni,,- Alimentos,92169.60536194609,1990
1995,beni,,- Bebidas y Tabaco,764.4095551012014,1990
1995,beni,,- Coca,0.0,1990
1995,beni,,- Comunicaciones,8791.99874951992,1990
1995,beni,,- Madera y Productos de Madera,5962.223349243131,1990
1995,beni,,- Minerales Metálicos y no Metálicos,15984.444692232726,1990
1995,beni,,- Otras Industrias Manufactureras,4295.191341493766,1990
1995,beni,,- Petróleo Crudo y Gas Natural,0.0,1990
1995,beni,,- Productos Agrícolas Industriales,1018.5527775328508,1990
1995,beni,,- Productos Agrícolas no Industriales,30717.67534584662,1990
1995,beni,,- Productos Pecuarios,190560.84203404636,1990
1995,beni,,- Productos de Minerales no Metálicos,7758.820638286957,1990
1995,beni,,- Productos de Refinación del Petróleo,0.0,1990
1995,beni,,- Propiedad de Vivienda,38172.96416745652,1990
1995,beni,,- Servicios Financieros,122.72919304493873,1990
1995,beni,,- Servicios a las Empresas,9141.050840374071,1990
1995,beni,,"- Silvicultura, Caza y Pesca",35643.88096782899,1990
1995,beni,,"- Textiles, Prendas de Vestir y Productos del Cuero",13249.274037413918,1990
1995,beni,,- Transporte y Almacenamiento,39211.494033524665,1990
1995,beni,,"1. Agricultura, Silvicultura, Caza y Pesca",257940.95112525483,1990
1995,beni,,10. Restaurantes y Hoteles,23912.67989302717,1990
1995,beni,,11. Servicios de la Administración Pública,51282.51293,1990
1995,beni,,2. Extracción de Minas y Canteras,15984.444692232726,1990
1995,beni,,3. Industrias Manufactureras,124199.52428348504,1990
1995,beni,,"4. Electricidad, Gas y Agua",3612.5339658095127,1990
1995,beni,,5. Construcción,22257.013985585923,1990
1995,beni,,6. Comercio,57737.317510584995,1990
1995,beni,,"7. Transporte, Almacenamiento y Comunicaciones",48003.49278304458,1990
1995,beni,,"8. Establecimientos Financieros, Seguros, Bienes Inmuebles y Servicios Prestados a las Empresas",47436.74420087553,1990
1995,beni,,"9. Servicios Comunales, Sociales, Personales y Domésticos",27309.75730508475,1990
1995,beni,,"Derechos s/Importaciones, IVA nd, IT y otros Imp. Indirectos",13878.76181380196,1990
1995,beni,,PRODUCTO INTERNO BRUTO (a precios básicos),679567.3961373057,1990
