date,city,sol,n_valid_pixels,log_sol,trend_extrap,anomaly,stl_seasonal,stl_sa
2015-12-01,trinidad,2326.7312584507376,361,7.752219668214743,7.675352431046752,0.06651913608451743,0.010348101083473716,7.74187156713127
2016-01-01,trinidad,2073.715096862461,261,7.637097010434724,7.682498252335053,0.05119141346080891,-0.09659265536113815,7.733689665795862
2016-02-01,trinidad,1966.5833167649405,247,7.5840529590216255,7.689644073623354,0.0058785063023441,-0.11146962090407227,7.695522579925698
2016-03-01,trinidad,2284.740642492014,346,7.734007792506333,7.696789894911655,0.09648530320768067,-0.059267405613002797,7.793275198119336
2016-04-01,trinidad,2221.3649359865985,260,7.705877121962091,7.703935716199956,0.05035244044826559,-0.048411034686130165,7.754288156648221
2016-05-01,trinidad,2321.6418486431057,275,7.750029907744127,7.711081537488257,0.08649636066049382,-0.04754799040462384,7.7975778981487505
2016-06-01,trinidad,2682.7314372696233,270,7.894590747491386,7.7182273587765575,0.1402169744734767,0.036146414241351864,7.858444333250034
2016-07-01,trinidad,2747.2034831584024,255,7.918338758036409,7.7253731800648575,0.1135748446304552,0.0793907333410962,7.838948024695313
2016-08-01,trinidad,2660.7379065592095,298,7.886358771786033,7.732519001353158,0.07222621087399261,0.08161355955888155,7.804745212227151
2016-09-01,trinidad,2509.6258791001396,332,7.827888968865115,7.739664822641459,0.0543208289077759,0.03390331731587981,7.793985651549235
2016-10-01,trinidad,2537.795647580814,300,7.839051127925019,7.74681064392976,0.023690311142591014,0.0685501728526673,7.770500955072351
2016-11-01,trinidad,2616.7075579980224,347,7.869672149246631,7.753956465218061,0.08334283285251765,0.032372851176051806,7.837299298070579
2016-12-01,trinidad,2618.276267378649,318,7.870271467021015,7.761102286506362,0.13483029005998048,-0.02566110954532676,7.895932576566342
2017-01-01,trinidad,2234.307083277343,294,7.711686429124941,7.768248107794663,0.03283090090260021,-0.08939257957232166,7.801079008697263
2017-02-01,trinidad,2502.038492975328,299,7.824861075790736,7.775393929082964,0.12905178095321812,-0.07958463424544565,7.904445710036182
2017-03-01,trinidad,2492.8850294641275,227,7.821195965117211,7.7825397503712646,0.098365676014736,-0.059709461268789135,7.880905426386001
2017-04-01,trinidad,2447.493028482745,235,7.8028195259768065,7.789685571659565,0.052598999317142514,-0.039465044999901236,7.842284570976708
2017-05-01,trinidad,2256.8423797934247,249,7.721721938221777,7.796831392947866,-0.04851514491868336,-0.026594309807405455,7.748316248029183
2017-06-01,trinidad,2395.5321492071657,255,7.781360676899856,7.803977214236167,-0.054499062477327165,0.03188252514101661,7.74947815175884
2017-07-01,trinidad,2561.024157224306,249,7.848162518886121,7.811123035524468,-0.05749834805048426,0.09453783141213756,7.753624687473984
2017-08-01,trinidad,2644.536832237179,307,7.880251218273357,7.818268856812769,-0.028311535221535955,0.09029389668212445,7.789957321591233
2017-09-01,trinidad,2355.686587584829,361,7.764587508581651,7.82541467810107,-0.09276122558745659,0.031934056068037904,7.732653452513613
2017-10-01,trinidad,2732.9518012643252,346,7.91313754993806,7.832560499389371,0.011775932625344154,0.06880111792334558,7.844336432014715
2017-11-01,trinidad,2182.680188191083,332,7.688308844759935,7.839706320677672,-0.1751860691993503,0.023788593281613885,7.664520251478321
2017-12-01,trinidad,2087.6619098228907,284,7.64380001530907,7.8468521419659725,-0.13805253037181053,-0.06499959628509183,7.708799611594162
2018-01-01,trinidad,2229.765210782822,230,7.7096515722666625,7.853997963254273,-0.06491652020490157,-0.07942987078270897,7.789081443049372
2018-02-01,trinidad,2323.8646154942053,288,7.750986861324058,7.861143784542574,-0.06096337272023966,-0.04919355049827743,7.800180411822335
2018-03-01,trinidad,2246.223796118556,263,7.717005772417507,7.868289605830875,-0.04510382323202844,-0.10618001018133919,7.823185782598847
2018-04-01,trinidad,2359.5030022324886,278,7.7662062835676196,7.875435427119176,-0.07331928970084434,-0.03590985385071191,7.802116137418332
2018-05-01,trinidad,2562.353173973925,279,7.848681323843677,7.882581248407477,-0.01544799963618626,-0.018451924927613335,7.867133248771291
2018-06-01,trinidad,2569.514115960618,261,7.85147210007768,7.889727069695778,-0.060310915155802114,0.022055945537704277,7.829416154539976
2018-07-01,trinidad,2839.5080701552197,262,7.95138610141777,7.896872890984079,-0.05301296878724493,0.1075261792209358,7.843859922196834
2018-08-01,trinidad,2785.3365879086464,259,7.932124002476542,7.9040187122723795,-0.07381912633423937,0.10192441653840123,7.83019958593814
2018-09-01,trinidad,2785.440037295718,332,7.9321611424999325,7.91116453356068,-0.01780273230255247,0.03879934124180477,7.893361801258128
2018-10-01,trinidad,2785.0582984720286,288,7.9320240851663595,7.918310354848981,-0.058206865925447104,0.07192059624282555,7.860103488923534
2018-11-01,trinidad,2751.320907878571,277,7.919836405476685,7.925456176137282,-0.023520961505602678,0.017901190845006163,7.9019352146316795
2018-12-01,trinidad,2327.5297814548485,243,7.752562804538684,7.932601997425583,-0.0871692359894709,-0.09286995689742816,7.845432761436112
2019-01-01,trinidad,2512.8183403744547,328,7.829160246977829,7.939747818713884,-0.055928460188837015,-0.054659111547217754,7.883819358525047
2019-02-01,trinidad,2549.246519767928,257,7.843553112044983,7.946893640002185,-0.08020546833748021,-0.02313505961972188,7.866688171664705
2019-03-01,trinidad,2274.9414490545764,332,7.729709594374549,7.954039461290486,-0.08900484026530453,-0.13532502665063204,7.865034621025181
2019-04-01,trinidad,2759.7335139678776,249,7.922889401139474,7.9611852825787865,0.004880771426527986,-0.043176652865840125,7.9660660540053145
2019-05-01,trinidad,2958.9667616630622,255,7.992595419374315,7.968331103867087,0.034902774361689204,-0.010638458854461227,8.003233878228777
2019-06-01,trinidad,3191.133487530641,257,8.06813145791054,7.975476925155388,0.0838017758587748,0.008852756896378069,8.059278701014163
2019-07-01,trinidad,3537.5682682455167,263,8.171194840209242,7.982622746443689,0.07271988880971403,0.11585220495583888,8.055342635253403
2019-08-01,trinidad,3707.871616090691,326,8.218213302594076,7.98976856773199,0.1311852054473297,0.0972595294147562,8.12095377317932
2019-09-01,trinidad,3461.6863265007964,361,8.149511126923269,7.996914389020291,0.11837661570396474,0.03422012219901281,8.115291004724256
2019-10-01,trinidad,3425.868958583543,305,8.139110429052591,8.004060210308591,0.0755368808485315,0.05951333789546861,8.079597091157122
2019-11-01,trinidad,3296.889815814604,348,8.100734822984807,8.011206031596892,0.073774986096252,0.0157538052916627,8.084981017693144
2019-12-01,trinidad,2976.147034595902,332,7.998384801518765,8.018351852885193,0.04355537687309585,-0.06352242823952295,8.061907229758289
2020-01-01,trinidad,3485.1695156616006,263,8.15627196352145,8.025497674173494,0.16878318402426018,-0.03800889467630331,8.194280858197754
2020-02-01,trinidad,3374.669975878175,257,8.124052813600388,8.032643495461794,0.11002127463129696,-0.018611956492703047,8.142664770093091
2020-03-01,trinidad,3380.7730252684787,275,8.125859668028635,8.039789316750095,0.24667786427912475,-0.1606075130005853,8.28646718102922
2020-04-01,trinidad,3117.793582758424,288,8.044880845616929,8.046935138038396,0.04354208431855611,-0.04559637674002442,8.090477222356952
2020-05-01,trinidad,2987.6994027892742,261,8.002258939715894,8.054080959326697,-0.05303511271667638,0.00121309310587235,8.00104584661002
2020-06-01,trinidad,3057.1646480119534,272,8.025243179783605,8.061226780614998,-0.038652248459426275,0.0026686476280334635,8.022574532155572
2020-07-01,trinidad,3219.2848456093525,258,8.076914516234273,8.068372601903299,-0.11601476617806128,0.12455668050903615,7.952357835725238
2020-08-01,trinidad,3470.0189810574266,300,8.151915342971312,8.0755184231916,-0.024338953428946652,0.10073587320865918,8.051179469762653
2020-09-01,trinidad,3266.732238565902,358,8.09154544881947,8.0826642444799,-0.008578881941481598,0.017460086281050953,8.074085362538419
2020-10-01,trinidad,3459.7551801465956,361,8.148953108365298,8.089810065768201,0.010262456243971485,0.04888058635312446,8.100072522012173
2020-11-01,trinidad,3586.294300001835,337,8.184874719955937,8.096955887056502,0.09564990529486472,-0.007731072395429679,8.192605792351367
2020-12-01,trinidad,3769.8482389543065,301,8.234790024712524,8.104101708344803,0.16162982640580914,-0.030941510038089176,8.265731534750612
2021-01-01,trinidad,3428.72113760143,276,8.139942624455225,8.111247529633104,0.04431191606781226,-0.015616821245692355,8.155559445700916
2021-02-01,trinidad,3758.0349309244234,284,8.23165147501388,8.118393350921405,0.1349506000653431,-0.021692475972867675,8.253343950986748
2021-03-01,trinidad,3248.8853263163473,326,8.086067239975838,8.125539172209706,0.13080556230873697,-0.17027749454260496,8.256344734518443
2021-04-01,trinidad,3505.786105137087,337,8.162170055387667,8.132684993498007,0.051875240669119194,-0.022390178779458668,8.184560234167126
2021-05-01,trinidad,3977.090530561506,273,8.288305808479283,8.139830814786308,0.13468991736360003,0.013785076329375479,8.274520732149908
2021-06-01,trinidad,3937.5524192828634,262,8.278314595879017,8.146976636074609,0.13154440516047394,-0.00020644535606458746,8.278521041235082
2021-07-01,trinidad,4457.187276881962,287,8.402273190659708,8.15412245736291,0.11939047350231746,0.1287602597944802,8.273512930865227
2021-08-01,trinidad,4308.4968473046365,359,8.368344362941045,8.16126827865121,0.09572083029638101,0.11135525399345365,8.256989108947591
2021-09-01,trinidad,3898.56789110684,361,8.268364557272085,8.168414099939511,0.10233136857158165,-0.002380911239009127,8.270745468511093
2021-10-01,trinidad,4249.2915496996175,359,8.354507553835116,8.175559921227812,0.13137266247632695,0.0475749701309782,8.306932583704139
2021-11-01,trinidad,3673.2539718181,307,8.208833189037197,8.182705742516113,0.09418030554908263,-0.0680528590279996,8.276886048065196
2021-12-01,trinidad,4052.833293796462,349,8.307171494224638,8.189851563804414,0.13207527560844134,-0.01475534518821739,8.321926839412855
2022-01-01,trinidad,3942.0904962601376,319,8.279466444389833,8.196997385092715,0.08873014149228098,-0.006261082195162649,8.285727526584996
2022-02-01,trinidad,3592.8005013334073,335,8.186687261311874,8.204143206381016,0.05660589910588598,-0.0740618441750272,8.260749105486902
2022-03-01,trinidad,3226.148482418976,313,8.079044284414229,8.211289027669316,0.05382439642702508,-0.1860691396821125,8.265113424096342
2022-04-01,trinidad,4008.452108398187,357,8.296160437899644,8.218434848957617,0.07213978604355908,0.005585802898467668,8.290574635001176
2022-05-01,trinidad,4104.925233522613,348,8.319942808206072,8.225580670245918,0.05246425480655681,0.04189788315359784,8.278044925052475
2022-06-01,trinidad,3814.1895724416568,336,8.246483489288451,8.232726491534219,-0.016651369166639896,0.030408366920871108,8.21607512236758
2022-07-01,trinidad,4489.152152431733,318,8.409419132712257,8.23987231282252,0.03286126895787511,0.1366855509318615,8.272733581780395
2022-08-01,trinidad,4539.336391101787,357,8.420536110990772,8.24701813411082,0.03679977940778478,0.1367181974721676,8.283817913518606
2022-09-01,trinidad,3893.9071082371743,359,8.267168330546728,8.254163955399122,0.015963517873666788,-0.0029591427260605738,8.270127473272789
2022-10-01,trinidad,4042.824577837431,359,8.304698879591703,8.261309776687423,0.04307344734458596,0.0003156555596943982,8.304383224032009
2022-11-01,trinidad,4213.583367219525,358,8.34606872075763,8.268455597975723,0.22504473404118563,-0.1474316112592787,8.49350033201691
2022-12-01,trinidad,3624.3025120482816,359,8.195417138306066,8.275601419264024,-0.04266636148379099,-0.03751791947416667,8.232935057780233
2023-01-01,trinidad,2930.521805523849,343,7.982935776777334,8.282747240552325,-0.3039896604866481,0.004178196711657109,7.978757580065677
2023-02-01,trinidad,2575.986803256726,348,7.853987964251776,8.289893061840626,-0.40029897698869643,-0.035606120600153474,7.88959408485193
2023-03-01,trinidad,2589.1282725387746,309,7.859076523730384,8.297038883128927,-0.334682097690008,-0.1032802617085349,7.962356785438919
2023-04-01,trinidad,4338.4337433565,360,8.375268673330943,8.304184704417228,0.06986662613309846,0.0012173427806162632,8.374051330550326
2023-05-01,trinidad,4210.232375089387,359,8.345273121136412,8.311330525705529,-0.026542047589812157,0.0604846430206958,8.284788478115717
2023-06-01,trinidad,4295.465306981549,353,8.365315165449418,8.31847634699383,-0.018538713694674414,0.06537753215026336,8.299937633299155
2023-07-01,trinidad,4535.789451980725,329,8.419754427218447,8.32562216828213,-0.049532245692558874,0.14366450462887562,8.276089922589572
2023-08-01,trinidad,4704.752534954342,359,8.456328454452265,8.332767989570431,0.011279191521195386,0.11228127336063916,8.344047181091627
2023-09-01,trinidad,2693.0233528501426,361,7.898419764459905,8.339913810858732,-0.4312656205128764,-0.010228425885951138,7.908648190345856
2023-10-01,trinidad,2618.990930987389,361,7.870544381724851,8.347059632147033,-0.4292048356331586,-0.047310414789023966,7.917854796513875
2023-11-01,trinidad,3082.9129898523665,361,8.033630204929459,8.354205453435334,-0.10390290337923247,-0.2166723451266424,8.250302550056102
2023-12-01,trinidad,3032.9997431131355,329,8.017307422991292,8.361351274723635,-0.309948825148636,-0.0340950265837061,8.051402449574999
2024-01-01,trinidad,2894.8360418413977,361,7.970683753460754,8.368497096011936,-0.4119214864890237,0.014108143937842555,7.956575609522912
