date,roi,no2_tropos_col_mol_m2,n_valid_days,sensor
2012-01-01,la_paz_el_alto,,12,OMI
2012-02-01,la_paz_el_alto,,8,OMI
2012-03-01,la_paz_el_alto,1.2752634298339051e-05,16,OMI
2012-04-01,la_paz_el_alto,,13,OMI
2012-05-01,la_paz_el_alto,1.378293520612686e-05,22,OMI
2012-06-01,la_paz_el_alto,1.5119491295944872e-05,22,OMI
2012-07-01,la_paz_el_alto,1.260085037002972e-05,24,OMI
2012-08-01,la_paz_el_alto,1.4438934182744732e-05,19,OMI
2012-09-01,la_paz_el_alto,1.1225554134323224e-05,20,OMI
2012-10-01,la_paz_el_alto,1.402056190268109e-05,15,OMI
2012-11-01,la_paz_el_alto,,14,OMI
2012-12-01,la_paz_el_alto,,13,OMI
2013-01-01,la_paz_el_alto,,9,OMI
2013-02-01,la_paz_el_alto,,14,OMI
2013-03-01,la_paz_el_alto,1.3505884023936038e-05,15,OMI
2013-04-01,la_paz_el_alto,1.076849621577879e-05,20,OMI
2013-05-01,la_paz_el_alto,1.244955034549188e-05,17,OMI
2013-06-01,la_paz_el_alto,1.4195504769377447e-05,18,OMI
2013-07-01,la_paz_el_alto,1.3037653829470068e-05,21,OMI
2013-08-01,la_paz_el_alto,1.3630482159996524e-05,19,OMI
2013-09-01,la_paz_el_alto,1.0315082743228446e-05,20,OMI
2013-10-01,la_paz_el_alto,,13,OMI
2013-11-01,la_paz_el_alto,1.3321883474115275e-05,16,OMI
2013-12-01,la_paz_el_alto,,7,OMI
2014-01-01,la_paz_el_alto,,12,OMI
2014-02-01,la_paz_el_alto,,11,OMI
2014-03-01,la_paz_el_alto,,13,OMI
2014-04-01,la_paz_el_alto,,12,OMI
2014-05-01,la_paz_el_alto,1.3020958666002956e-05,22,OMI
2014-06-01,la_paz_el_alto,1.2775726314089471e-05,22,OMI
2014-07-01,la_paz_el_alto,1.5880090284570958e-05,22,OMI
2014-08-01,la_paz_el_alto,1.7312721296591096e-05,20,OMI
2014-09-01,la_paz_el_alto,1.109287696569116e-05,19,OMI
2014-10-01,la_paz_el_alto,1.3083356875864457e-05,16,OMI
2014-11-01,la_paz_el_alto,1.1521271037106213e-05,16,OMI
