date,roi,no2_tropos_col_mol_m2,n_valid_days,sd,month_of_year,base_mean,base_sd_pooled,anomaly_mult,z_vs_2019,post_subsidy_break,volcanic_flag
2020-05-01,santa_cruz,7.7747218197334e-06,438,,5,9.304588980598436e-06,7.524910740603905e-06,-0.16442071369891298,-0.20330701766467177,False,False
2020-06-01,santa_cruz,7.868179009408755e-06,425,,6,1.1463676921917054e-05,7.524910740603905e-06,-0.31364264162348965,-0.47781269924003716,False,False
2020-07-01,santa_cruz,1.587366011532482e-05,439,,7,1.576919324819544e-05,7.524910740603905e-06,0.00662474392222534,0.013882804823940689,False,False
2020-08-01,santa_cruz,2.2621596361829977e-05,437,,8,2.554521845490459e-05,7.524910740603905e-06,-0.11444889767671129,-0.38852581696404026,False,False
2020-09-01,santa_cruz,3.1166061013001244e-05,425,,9,3.3203664100689825e-05,7.524910740603905e-06,-0.06136681426211177,-0.2707810308890196,False,False
2020-10-01,santa_cruz,1.956450348006579e-05,440,,10,2.227632780089513e-05,7.524910740603905e-06,-0.12173569831919828,-0.36037959974681444,False,False
2020-11-01,santa_cruz,1.9687386828643275e-05,425,,11,1.7760432104887264e-05,7.524910740603905e-06,0.10849706315567387,0.25607675495182874,False,False
2020-12-01,santa_cruz,1.4065547678115783e-05,438,,12,1.009727394841333e-05,7.524910740603905e-06,0.39300446338053674,0.5273516014336116,False,False
2021-01-01,santa_cruz,9.903445102491678e-06,437,,1,1.4519667306765109e-05,7.524910740603905e-06,-0.3179289240410217,-0.6134587323892907,False,False
2021-02-01,santa_cruz,1.230175649639254e-05,397,,2,1.0262766765664533e-05,7.524910740603905e-06,0.19867836591100585,0.2709653045750772,False,False
2021-03-01,santa_cruz,1.140006165941394e-05,440,,3,1.1294356943485756e-05,7.524910740603905e-06,0.009359073425525999,0.014047304954437307,False,False
2021-04-01,santa_cruz,1.056699096373216e-05,424,,4,1.0019583262093278e-05,7.524910740603905e-06,0.054633779401771054,0.07274607241320574,False,False
2021-05-01,santa_cruz,1.38748522682861e-05,437,,5,9.304588980598436e-06,7.524910740603905e-06,0.4911837908388428,0.6073511627223477,False,False
2021-06-01,santa_cruz,1.2290484190071196e-05,425,,6,1.1463676921917054e-05,7.524910740603905e-06,0.07212409018378696,0.10987602333842268,False,False
2021-07-01,santa_cruz,1.63424911967721e-05,440,,7,1.576919324819544e-05,7.524910740603905e-06,0.03635556616964308,0.07618667760179287,False,False
2021-08-01,santa_cruz,2.9505188382979625e-05,440,,8,2.554521845490459e-05,7.524910740603905e-06,0.15501804907504058,0.5262480931112322,False,False
2021-09-01,santa_cruz,2.9921254826265636e-05,426,,9,3.3203664100689825e-05,7.524910740603905e-06,-0.09885683894615704,-0.4362057421774498,False,False
2021-10-01,santa_cruz,2.5148534901254428e-05,438,,10,2.227632780089513e-05,7.524910740603905e-06,0.1289353939316642,0.38169317874577097,False,False
2021-11-01,santa_cruz,1.9206040697192942e-05,426,,11,1.7760432104887264e-05,7.524910740603905e-06,0.08139489984074655,0.1921097328776636,False,False
2021-12-01,santa_cruz,1.5760541793083984e-05,438,,12,1.009727394841333e-05,7.524910740603905e-06,0.5608709710763637,0.7526026606683913,False,False
2022-01-01,santa_cruz,1.623179512965274e-05,433,,1,1.4519667306765109e-05,7.524910740603905e-06,0.11791784114019643,0.22752799094999315,False,False
2022-02-01,santa_cruz,1.409406327419663e-05,394,,2,1.0262766765664533e-05,7.524910740603905e-06,0.3733200408831481,0.5091484325333832,False,False
2022-03-01,santa_cruz,1.2572352406321671e-05,440,,3,1.1294356943485756e-05,7.524910740603905e-06,0.11315345081005468,0.16983529863549604,False,False
2022-04-01,santa_cruz,9.661651427647569e-06,424,,4,1.0019583262093278e-05,7.524910740603905e-06,-0.03572322571537079,-0.04756625650246367,False,False
2022-05-01,santa_cruz,1.442714463469654e-05,426,,5,9.304588980598436e-06,7.524910740603905e-06,0.5505407777580993,0.6807463677219643,False,False
2022-06-01,santa_cruz,1.5339416287970224e-05,426,,6,1.1463676921917054e-05,7.524910740603905e-06,0.3380886771715681,0.5150545301673739,False,False
2022-07-01,santa_cruz,1.7266105502154854e-05,439,,7,1.576919324819544e-05,7.524910740603905e-06,0.0949263688001738,0.19892757609497957,False,False
2022-08-01,santa_cruz,2.8459847440975493e-05,440,,8,2.554521845490459e-05,7.524910740603905e-06,0.11409685108843948,0.38733070551172966,False,False
2022-09-01,santa_cruz,4.122036450157947e-05,426,,9,3.3203664100689825e-05,7.524910740603905e-06,0.2414402331194252,1.065354882900082,False,False
2022-10-01,santa_cruz,2.4090762040457223e-05,440,,10,2.227632780089513e-05,7.524910740603905e-06,0.08145122731984511,0.24112368931787195,False,False
2022-11-01,santa_cruz,1.863445481346271e-05,425,,11,1.7760432104887264e-05,7.524910740603905e-06,0.04921179301346701,0.11615057489775653,False,False
2022-12-01,santa_cruz,1.7422086417055705e-05,439,,12,1.009727394841333e-05,7.524910740603905e-06,0.7254247538558052,0.9734085520932743,False,False
2023-01-01,santa_cruz,1.2728851101527428e-05,440,,1,1.4519667306765109e-05,7.524910740603905e-06,-0.1233372753935823,-0.23798504287559968,False,False
2023-02-01,santa_cruz,9.833017075253513e-06,397,,2,1.0262766765664533e-05,7.524910740603905e-06,-0.04187464260113616,-0.05711027083578814,False,False
2023-03-01,santa_cruz,1.0989116441037196e-05,440,,3,1.1294356943485756e-05,7.524910740603905e-06,-0.027025930203544046,-0.04056400307866813,False,False
2023-04-01,santa_cruz,9.75773883518855e-06,426,,4,1.0019583262093278e-05,7.524910740603905e-06,-0.026133265232233138,-0.03479701433424756,False,False
2023-05-01,santa_cruz,9.35936211272543e-06,401,,5,9.304588980598436e-06,7.524910740603905e-06,0.005886679383818372,0.007278907885437268,False,False
2023-06-01,santa_cruz,9.66681575083312e-06,392,,6,1.1463676921917054e-05,7.524910740603905e-06,-0.15674387749436403,-0.23878837012486995,False,False
2023-07-01,santa_cruz,1.7039058069903175e-05,414,,7,1.576919324819544e-05,7.524910740603905e-06,0.08052820469132449,0.16875480194809886,False,False
2023-08-01,santa_cruz,3.0656258299828615e-05,439,,8,2.554521845490459e-05,7.524910740603905e-06,0.20007814197974572,0.6792160094797141,False,False
2023-09-01,santa_cruz,4.00456296364152e-05,425,,9,3.3203664100689825e-05,7.524910740603905e-06,0.2060605575028458,0.9092420855979849,False,False
2023-10-01,santa_cruz,3.645195693884564e-05,440,,10,2.227632780089513e-05,7.524910740603905e-06,0.6363539477714497,1.88382688201998,False,False
2023-11-01,santa_cruz,2.280297408365015e-05,425,,11,1.7760432104887264e-05,7.524910740603905e-06,0.28392000537955897,0.670113195038138,False,False
2023-12-01,santa_cruz,1.504183298992948e-05,438,,12,1.009727394841333e-05,7.524910740603905e-06,0.48969247212443223,0.6570920522466329,False,False
2024-01-01,santa_cruz,1.3195753824119349e-05,432,,1,1.4519667306765109e-05,7.524910740603905e-06,-0.09118070370861131,-0.17593743345047444,False,False
2024-02-01,santa_cruz,1.313413070668542e-05,407,,2,1.0262766765664533e-05,7.524910740603905e-06,0.2797845850523877,0.38158112966406404,False,False
2024-03-01,santa_cruz,1.119614947219626e-05,433,,3,1.1294356943485756e-05,7.524910740603905e-06,-0.008695268954301838,-0.013050981556442201,False,False
2024-04-01,santa_cruz,1.0183722889758516e-05,425,,4,1.0019583262093278e-05,7.524910740603905e-06,0.016381881698235956,0.021812833842606526,False,False
2024-05-01,santa_cruz,9.501211610315004e-06,439,,5,9.304588980598436e-06,7.524910740603905e-06,0.021131791004047384,0.026129563059878614,False,False
2024-06-01,santa_cruz,9.017001622101054e-06,426,,6,1.1463676921917054e-05,7.524910740603905e-06,-0.21342849388386687,-0.3251434314846962,False,False
2024-07-01,santa_cruz,2.250761396443121e-05,438,,7,1.576919324819544e-05,7.524910740603905e-06,0.4273155011913423,0.8954818134753026,False,False
2024-08-01,santa_cruz,3.1058862573430664e-05,436,,8,2.554521845490459e-05,7.524910740603905e-06,0.21583859728032473,0.732718873165475,False,False
2024-09-01,santa_cruz,4.8410564653279136e-05,424,,9,3.3203664100689825e-05,7.524910740603905e-06,0.45798862759466896,2.0208745428080515,False,False
2024-10-01,santa_cruz,2.95379521035684e-05,440,,10,2.227632780089513e-05,7.524910740603905e-06,0.3259794149007573,0.9650113540204589,False,False
